step,loss,width,lr,wd,seed,param_type
0,3.470637559890747,768,0.00781,2.13313,1,mup
10,2.2507711491925875e-05,768,0.00781,2.13313,1,mup
20,2.2407619439945847e-06,768,0.00781,2.13313,1,mup
30,4.54019721818355e-09,768,0.00781,2.13313,1,mup
40,0.0,768,0.00781,2.13313,1,mup
50,0.0,768,0.00781,2.13313,1,mup
60,0.0,768,0.00781,2.13313,1,mup
70,0.0,768,0.00781,2.13313,1,mup
80,0.0,768,0.00781,2.13313,1,mup
90,0.0,768,0.00781,2.13313,1,mup
100,0.0,768,0.00781,2.13313,1,mup
110,0.0,768,0.00781,2.13313,1,mup
120,0.0,768,0.00781,2.13313,1,mup
130,0.0,768,0.00781,2.13313,1,mup
140,8.149072083796227e-09,768,0.00781,2.13313,1,mup
150,2.3934987325446855e-07,768,0.00781,2.13313,1,mup
160,8.237547604039719e-07,768,0.00781,2.13313,1,mup
170,1.4600809095099976e-06,768,0.00781,2.13313,1,mup
180,4.406317657412728e-06,768,0.00781,2.13313,1,mup
190,1.2264160886843456e-05,768,0.00781,2.13313,1,mup
200,1.9224729840061627e-05,768,0.00781,2.13313,1,mup
210,3.705826020450331e-05,768,0.00781,2.13313,1,mup
220,4.92968647449743e-05,768,0.00781,2.13313,1,mup
230,5.052882443123963e-05,768,0.00781,2.13313,1,mup
240,4.67551508336328e-05,768,0.00781,2.13313,1,mup
250,3.92043493775418e-05,768,0.00781,2.13313,1,mup
260,3.49557121808175e-05,768,0.00781,2.13313,1,mup
270,2.9025040930719115e-05,768,0.00781,2.13313,1,mup
280,2.9443770472425967e-05,768,0.00781,2.13313,1,mup
290,3.1641444365959615e-05,768,0.00781,2.13313,1,mup
300,4.235550841258373e-05,768,0.00781,2.13313,1,mup
310,6.984329411352519e-05,768,0.00781,2.13313,1,mup
320,9.431894795852713e-05,768,0.00781,2.13313,1,mup
330,0.00016039146066759713,768,0.00781,2.13313,1,mup
340,0.0001822574995458126,768,0.00781,2.13313,1,mup
350,0.0001646477212489117,768,0.00781,2.13313,1,mup
360,0.00011543386790435761,768,0.00781,2.13313,1,mup
370,7.322396777453832e-05,768,0.00781,2.13313,1,mup
380,5.728261385229416e-05,768,0.00781,2.13313,1,mup
390,3.565326005627867e-05,768,0.00781,2.13313,1,mup
400,2.4438180844299495e-05,768,0.00781,2.13313,1,mup
410,2.133509497070918e-05,768,0.00781,2.13313,1,mup
420,1.800041809474351e-05,768,0.00781,2.13313,1,mup
430,1.7642907550907694e-05,768,0.00781,2.13313,1,mup
440,1.8238254597235937e-05,768,0.00781,2.13313,1,mup
450,2.0521229089354165e-05,768,0.00781,2.13313,1,mup
460,2.4064632270892616e-05,768,0.00781,2.13313,1,mup
470,2.588940151326824e-05,768,0.00781,2.13313,1,mup
480,2.918881546065677e-05,768,0.00781,2.13313,1,mup
490,3.081897557422053e-05,768,0.00781,2.13313,1,mup
500,3.08746202790644e-05,768,0.00781,2.13313,1,mup
510,2.9206045837781858e-05,768,0.00781,2.13313,1,mup
520,2.5774150344659574e-05,768,0.00781,2.13313,1,mup
530,2.3722371224721428e-05,768,0.00781,2.13313,1,mup
540,2.0143113033554982e-05,768,0.00781,2.13313,1,mup
550,1.7046763787220698e-05,768,0.00781,2.13313,1,mup
560,1.5854679531912552e-05,768,0.00781,2.13313,1,mup
570,1.4066617950447835e-05,768,0.00781,2.13313,1,mup
580,1.2982910448045004e-05,768,0.00781,2.13313,1,mup
590,1.2633315236598719e-05,768,0.00781,2.13313,1,mup
600,1.2159271136624739e-05,768,0.00781,2.13313,1,mup
610,1.1920853467017878e-05,768,0.00781,2.13313,1,mup
620,1.1801643267972395e-05,768,0.00781,2.13313,1,mup
630,1.1744366929633543e-05,768,0.00781,2.13313,1,mup
640,1.1562292456801515e-05,768,0.00781,2.13313,1,mup
650,1.1444014717199025e-05,768,0.00781,2.13313,1,mup
660,1.0847966450455715e-05,768,0.00781,2.13313,1,mup
670,1.0251965250063222e-05,768,0.00781,2.13313,1,mup
680,9.894346931105247e-06,768,0.00781,2.13313,1,mup
690,9.179091875921586e-06,768,0.00781,2.13313,1,mup
700,8.582695045333821e-06,768,0.00781,2.13313,1,mup
710,8.225416422646958e-06,768,0.00781,2.13313,1,mup
720,7.748572215859895e-06,768,0.00781,2.13313,1,mup
730,7.2717539296718314e-06,768,0.00781,2.13313,1,mup
740,7.033335577943944e-06,768,0.00781,2.13313,1,mup
750,6.675708391412627e-06,768,0.00781,2.13313,1,mup
760,6.437176807594369e-06,768,0.00781,2.13313,1,mup
770,6.283159336817334e-06,768,0.00781,2.13313,1,mup
780,5.985135885566706e-06,768,0.00781,2.13313,1,mup
790,5.722968808186124e-06,768,0.00781,2.13313,1,mup
800,5.602942110272124e-06,768,0.00781,2.13313,1,mup
810,5.454863185150316e-06,768,0.00781,2.13313,1,mup
820,6.437758656829828e-06,768,0.00781,2.13313,1,mup
830,1.5205859654088272e-05,768,0.00781,2.13313,1,mup
840,5.797241556138033e-06,768,0.00781,2.13313,1,mup
850,33.763315200805664,768,0.00781,2.13313,1,mup
860,3.578012466430664,768,0.00781,2.13313,1,mup
870,0.04839286208152771,768,0.00781,2.13313,1,mup
880,0.0007099492504494265,768,0.00781,2.13313,1,mup
890,0.0003645908727776259,768,0.00781,2.13313,1,mup
900,0.00010084948735311627,768,0.00781,2.13313,1,mup
910,3.772987656702753e-05,768,0.00781,2.13313,1,mup
920,2.595959995232988e-05,768,0.00781,2.13313,1,mup
930,1.5508227534155594e-05,768,0.00781,2.13313,1,mup
940,1.2212937690492254e-05,768,0.00781,2.13313,1,mup
950,1.1833424650831148e-05,768,0.00781,2.13313,1,mup
960,1.3057765045232372e-05,768,0.00781,2.13313,1,mup
970,1.685211645963136e-05,768,0.00781,2.13313,1,mup
980,1.9951614376623183e-05,768,0.00781,2.13313,1,mup
990,3.0032593713258393e-05,768,0.00781,2.13313,1,mup
1000,4.555399573291652e-05,768,0.00781,2.13313,1,mup
1010,5.5175569286802784e-05,768,0.00781,2.13313,1,mup
1020,7.47694903111551e-05,768,0.00781,2.13313,1,mup
1030,8.575339052185882e-05,768,0.00781,2.13313,1,mup
1040,8.54641057230765e-05,768,0.00781,2.13313,1,mup
1050,7.343478682741988e-05,768,0.00781,2.13313,1,mup
1060,5.853914080944378e-05,768,0.00781,2.13313,1,mup
1070,5.3803065384272486e-05,768,0.00781,2.13313,1,mup
1080,4.916549369227141e-05,768,0.00781,2.13313,1,mup
1090,5.0428830945747904e-05,768,0.00781,2.13313,1,mup
1100,5.330438034434337e-05,768,0.00781,2.13313,1,mup
1110,6.276146450545639e-05,768,0.00781,2.13313,1,mup
1120,7.79560814407887e-05,768,0.00781,2.13313,1,mup
1130,8.766548489802517e-05,768,0.00781,2.13313,1,mup
1140,0.00011042939149774611,768,0.00781,2.13313,1,mup
1150,0.00013635911454912275,768,0.00781,2.13313,1,mup
1160,0.00014982034190325066,768,0.00781,2.13313,1,mup
1170,0.00017580991698196158,768,0.00781,2.13313,1,mup
1180,0.00019173684268025681,768,0.00781,2.13313,1,mup
1190,0.00019106567924609408,768,0.00781,2.13313,1,mup
1200,0.00016635722568025813,768,0.00781,2.13313,1,mup
1210,0.00012321919348323718,768,0.00781,2.13313,1,mup
1220,0.00010294675303157419,768,0.00781,2.13313,1,mup
1230,7.210582407424226e-05,768,0.00781,2.13313,1,mup
1240,5.390492515289225e-05,768,0.00781,2.13313,1,mup
1250,4.843291753786616e-05,768,0.00781,2.13313,1,mup
1260,4.203757725917967e-05,768,0.00781,2.13313,1,mup
1270,3.956173713959288e-05,768,0.00781,2.13313,1,mup
1280,3.9512493458460085e-05,768,0.00781,2.13313,1,mup
1290,4.047611218993552e-05,768,0.00781,2.13313,1,mup
1300,4.272791920811869e-05,768,0.00781,2.13313,1,mup
1310,4.402466402098071e-05,768,0.00781,2.13313,1,mup
1320,4.619154424290173e-05,768,0.00781,2.13313,1,mup
1330,4.7264296881621704e-05,768,0.00781,2.13313,1,mup
1340,4.71268140245229e-05,768,0.00781,2.13313,1,mup
1350,4.571546469378518e-05,768,0.00781,2.13313,1,mup
1360,4.2231059524056036e-05,768,0.00781,2.13313,1,mup
1370,4.0027047361945733e-05,768,0.00781,2.13313,1,mup
1380,3.554918475856539e-05,768,0.00781,2.13313,1,mup
1390,3.124400791421067e-05,768,0.00781,2.13313,1,mup
1400,2.9341785193537362e-05,768,0.00781,2.13313,1,mup
1410,2.6479646294319537e-05,768,0.00781,2.13313,1,mup
1420,2.4198830033128615e-05,768,0.00781,2.13313,1,mup
1430,2.3327491362579167e-05,768,0.00781,2.13313,1,mup
1440,2.223017690994311e-05,768,0.00781,2.13313,1,mup
1450,2.153066725441022e-05,768,0.00781,2.13313,1,mup
1460,2.1258610104268882e-05,768,0.00781,2.13313,1,mup
1470,2.076674900308717e-05,768,0.00781,2.13313,1,mup
1480,2.0269073502277024e-05,768,0.00781,2.13313,1,mup
1490,1.9909123693651054e-05,768,0.00781,2.13313,1,mup
1500,1.9085719031863846e-05,768,0.00781,2.13313,1,mup
1510,1.802684346330352e-05,768,0.00781,2.13313,1,mup
1520,1.7517528249300085e-05,768,0.00781,2.13313,1,mup
1530,1.6419990060967393e-05,768,0.00781,2.13313,1,mup
1540,1.5321049431804568e-05,768,0.00781,2.13313,1,mup
1550,1.473065049140132e-05,768,0.00781,2.13313,1,mup
1560,1.3782912901660893e-05,768,0.00781,2.13313,1,mup
1570,1.3008986570639536e-05,768,0.00781,2.13313,1,mup
1580,1.2636574410862522e-05,768,0.00781,2.13313,1,mup
1590,1.2040062301821308e-05,768,0.00781,2.13313,1,mup
1600,1.1466948308225255e-05,768,0.00781,2.13313,1,mup
1610,1.1324687193337013e-05,768,0.00781,2.13313,1,mup
1620,1.072892746378784e-05,768,0.00781,2.13313,1,mup
1630,1.0253828122586128e-05,768,0.00781,2.13313,1,mup
1640,1.0068038136523683e-05,768,0.00781,2.13313,1,mup
1650,9.650214451539796e-06,768,0.00781,2.13313,1,mup
1660,9.166868267129757e-06,768,0.00781,2.13313,1,mup
1670,8.939508461480727e-06,768,0.00781,2.13313,1,mup
1680,8.463835456495872e-06,768,0.00781,2.13313,1,mup
1690,7.986997388798045e-06,768,0.00781,2.13313,1,mup
1700,7.74869022279745e-06,768,0.00781,2.13313,1,mup
