step,loss,width,lr,wd,seed,param_type
0,10.364642143249512,768,0.00391,4.2608,2,mup
10,7.924422740936279,768,0.00391,4.2608,2,mup
20,8.687037706375122,768,0.00391,4.2608,2,mup
30,15.311834335327148,768,0.00391,4.2608,2,mup
40,8.551235675811768,768,0.00391,4.2608,2,mup
50,8.651875019073486,768,0.00391,4.2608,2,mup
60,8.46075439453125,768,0.00391,4.2608,2,mup
70,8.257620334625244,768,0.00391,4.2608,2,mup
80,8.187777042388916,768,0.00391,4.2608,2,mup
90,8.070233345031738,768,0.00391,4.2608,2,mup
100,7.949944496154785,768,0.00391,4.2608,2,mup
110,7.7551796436309814,768,0.00391,4.2608,2,mup
120,7.586638927459717,768,0.00391,4.2608,2,mup
130,7.934925556182861,768,0.00391,4.2608,2,mup
140,7.728135824203491,768,0.00391,4.2608,2,mup
150,7.596942901611328,768,0.00391,4.2608,2,mup
160,7.732232093811035,768,0.00391,4.2608,2,mup
170,8.391547679901123,768,0.00391,4.2608,2,mup
180,7.759137868881226,768,0.00391,4.2608,2,mup
190,7.643751382827759,768,0.00391,4.2608,2,mup
200,7.65732479095459,768,0.00391,4.2608,2,mup
210,7.885444164276123,768,0.00391,4.2608,2,mup
220,8.026796579360962,768,0.00391,4.2608,2,mup
230,7.832017421722412,768,0.00391,4.2608,2,mup
240,7.892062425613403,768,0.00391,4.2608,2,mup
250,7.521777391433716,768,0.00391,4.2608,2,mup
260,7.5323710441589355,768,0.00391,4.2608,2,mup
270,8.065288782119751,768,0.00391,4.2608,2,mup
280,7.8668975830078125,768,0.00391,4.2608,2,mup
290,7.716942071914673,768,0.00391,4.2608,2,mup
300,7.5559022426605225,768,0.00391,4.2608,2,mup
310,7.8680419921875,768,0.00391,4.2608,2,mup
320,7.688967704772949,768,0.00391,4.2608,2,mup
330,7.992363452911377,768,0.00391,4.2608,2,mup
340,7.734199047088623,768,0.00391,4.2608,2,mup
350,7.564481019973755,768,0.00391,4.2608,2,mup
360,7.6648993492126465,768,0.00391,4.2608,2,mup
370,7.65646505355835,768,0.00391,4.2608,2,mup
380,7.53727912902832,768,0.00391,4.2608,2,mup
390,7.859275817871094,768,0.00391,4.2608,2,mup
400,7.750338792800903,768,0.00391,4.2608,2,mup
410,7.6733479499816895,768,0.00391,4.2608,2,mup
420,8.04091215133667,768,0.00391,4.2608,2,mup
430,8.106950998306274,768,0.00391,4.2608,2,mup
440,8.111399173736572,768,0.00391,4.2608,2,mup
450,7.558805465698242,768,0.00391,4.2608,2,mup
460,7.751938104629517,768,0.00391,4.2608,2,mup
470,7.7746946811676025,768,0.00391,4.2608,2,mup
480,7.8729472160339355,768,0.00391,4.2608,2,mup
490,7.721627712249756,768,0.00391,4.2608,2,mup
500,7.710973262786865,768,0.00391,4.2608,2,mup
510,7.803837060928345,768,0.00391,4.2608,2,mup
520,7.976073503494263,768,0.00391,4.2608,2,mup
530,7.7784504890441895,768,0.00391,4.2608,2,mup
540,7.761260032653809,768,0.00391,4.2608,2,mup
550,7.47573709487915,768,0.00391,4.2608,2,mup
560,7.698733806610107,768,0.00391,4.2608,2,mup
570,7.679916858673096,768,0.00391,4.2608,2,mup
580,7.409697532653809,768,0.00391,4.2608,2,mup
590,7.307496786117554,768,0.00391,4.2608,2,mup
600,7.692365884780884,768,0.00391,4.2608,2,mup
610,7.70806360244751,768,0.00391,4.2608,2,mup
620,7.631971120834351,768,0.00391,4.2608,2,mup
630,7.497777700424194,768,0.00391,4.2608,2,mup
640,7.186471939086914,768,0.00391,4.2608,2,mup
650,7.447652578353882,768,0.00391,4.2608,2,mup
660,7.543334484100342,768,0.00391,4.2608,2,mup
670,7.44453763961792,768,0.00391,4.2608,2,mup
680,7.415385961532593,768,0.00391,4.2608,2,mup
