step,loss,width,lr,wd,seed,param_type
0,10.92500925064087,512,0.00024,102.62726,1,mup
10,10.925735235214233,512,0.00024,102.62726,1,mup
20,10.921297073364258,512,0.00024,102.62726,1,mup
30,10.919760465621948,512,0.00024,102.62726,1,mup
40,11.11143708229065,512,0.00024,102.62726,1,mup
50,11.095136404037476,512,0.00024,102.62726,1,mup
60,11.10626220703125,512,0.00024,102.62726,1,mup
70,11.092569828033447,512,0.00024,102.62726,1,mup
80,11.399801969528198,512,0.00024,102.62726,1,mup
90,11.412861347198486,512,0.00024,102.62726,1,mup
100,11.44179105758667,512,0.00024,102.62726,1,mup
110,11.435555219650269,512,0.00024,102.62726,1,mup
120,12.256659269332886,512,0.00024,102.62726,1,mup
130,12.222923040390015,512,0.00024,102.62726,1,mup
140,12.221847772598267,512,0.00024,102.62726,1,mup
150,12.203031778335571,512,0.00024,102.62726,1,mup
160,13.969871997833252,512,0.00024,102.62726,1,mup
170,13.980640172958374,512,0.00024,102.62726,1,mup
180,13.933651447296143,512,0.00024,102.62726,1,mup
190,13.968086242675781,512,0.00024,102.62726,1,mup
200,17.980087995529175,512,0.00024,102.62726,1,mup
210,17.899696826934814,512,0.00024,102.62726,1,mup
220,17.96263098716736,512,0.00024,102.62726,1,mup
230,17.892078161239624,512,0.00024,102.62726,1,mup
240,25.537686347961426,512,0.00024,102.62726,1,mup
250,25.599467754364014,512,0.00024,102.62726,1,mup
260,25.661580562591553,512,0.00024,102.62726,1,mup
270,25.62868595123291,512,0.00024,102.62726,1,mup
280,38.22847127914429,512,0.00024,102.62726,1,mup
290,38.17931890487671,512,0.00024,102.62726,1,mup
300,38.176047801971436,512,0.00024,102.62726,1,mup
310,38.186471462249756,512,0.00024,102.62726,1,mup
320,57.53051280975342,512,0.00024,102.62726,1,mup
330,57.719359397888184,512,0.00024,102.62726,1,mup
340,58.011231422424316,512,0.00024,102.62726,1,mup
350,57.558555603027344,512,0.00024,102.62726,1,mup
360,87.79695510864258,512,0.00024,102.62726,1,mup
370,88.25533866882324,512,0.00024,102.62726,1,mup
380,88.02165031433105,512,0.00024,102.62726,1,mup
390,87.88643836975098,512,0.00024,102.62726,1,mup
400,134.4839382171631,512,0.00024,102.62726,1,mup
410,134.19108390808105,512,0.00024,102.62726,1,mup
420,133.56825828552246,512,0.00024,102.62726,1,mup
430,133.98776054382324,512,0.00024,102.62726,1,mup
440,205.24015426635742,512,0.00024,102.62726,1,mup
450,205.02817153930664,512,0.00024,102.62726,1,mup
460,204.85998153686523,512,0.00024,102.62726,1,mup
470,204.8033905029297,512,0.00024,102.62726,1,mup
480,313.682804107666,512,0.00024,102.62726,1,mup
490,312.03901290893555,512,0.00024,102.62726,1,mup
500,312.5314712524414,512,0.00024,102.62726,1,mup
510,311.935977935791,512,0.00024,102.62726,1,mup
520,478.7040328979492,512,0.00024,102.62726,1,mup
530,476.80419921875,512,0.00024,102.62726,1,mup
540,478.44581604003906,512,0.00024,102.62726,1,mup
550,476.89476013183594,512,0.00024,102.62726,1,mup
560,730.2360534667969,512,0.00024,102.62726,1,mup
570,731.2999725341797,512,0.00024,102.62726,1,mup
580,731.8244171142578,512,0.00024,102.62726,1,mup
590,731.3652801513672,512,0.00024,102.62726,1,mup
600,1110.166015625,512,0.00024,102.62726,1,mup
610,1116.97998046875,512,0.00024,102.62726,1,mup
620,1113.8563537597656,512,0.00024,102.62726,1,mup
630,1115.0321197509766,512,0.00024,102.62726,1,mup
640,1706.624755859375,512,0.00024,102.62726,1,mup
650,1705.2018737792969,512,0.00024,102.62726,1,mup
660,1705.5839538574219,512,0.00024,102.62726,1,mup
670,1705.7986450195312,512,0.00024,102.62726,1,mup
680,2606.8032836914062,512,0.00024,102.62726,1,mup
690,2591.1972045898438,512,0.00024,102.62726,1,mup
700,2602.7069091796875,512,0.00024,102.62726,1,mup
710,2611.4996337890625,512,0.00024,102.62726,1,mup
720,3985.0274658203125,512,0.00024,102.62726,1,mup
730,3968.6251831054688,512,0.00024,102.62726,1,mup
740,3988.3364868164062,512,0.00024,102.62726,1,mup
750,3971.2875366210938,512,0.00024,102.62726,1,mup
760,6079.6966552734375,512,0.00024,102.62726,1,mup
770,6102.828369140625,512,0.00024,102.62726,1,mup
780,6078.4954833984375,512,0.00024,102.62726,1,mup
790,6023.47412109375,512,0.00024,102.62726,1,mup
800,9260.182495117188,512,0.00024,102.62726,1,mup
810,9276.271362304688,512,0.00024,102.62726,1,mup
820,9262.159423828125,512,0.00024,102.62726,1,mup
830,9254.231567382812,512,0.00024,102.62726,1,mup
840,14117.576904296875,512,0.00024,102.62726,1,mup
850,14219.940185546875,512,0.00024,102.62726,1,mup
860,14144.51904296875,512,0.00024,102.62726,1,mup
870,14158.521728515625,512,0.00024,102.62726,1,mup
880,21578.16162109375,512,0.00024,102.62726,1,mup
890,21723.19580078125,512,0.00024,102.62726,1,mup
900,21638.2568359375,512,0.00024,102.62726,1,mup
910,21557.21435546875,512,0.00024,102.62726,1,mup
920,32970.1025390625,512,0.00024,102.62726,1,mup
930,33081.484375,512,0.00024,102.62726,1,mup
940,33176.10107421875,512,0.00024,102.62726,1,mup
950,33195.6494140625,512,0.00024,102.62726,1,mup
960,50325.0390625,512,0.00024,102.62726,1,mup
970,50333.9404296875,512,0.00024,102.62726,1,mup
980,50595.05859375,512,0.00024,102.62726,1,mup
990,50580.1708984375,512,0.00024,102.62726,1,mup
1000,77072.8369140625,512,0.00024,102.62726,1,mup
1010,76986.6650390625,512,0.00024,102.62726,1,mup
1020,77125.6884765625,512,0.00024,102.62726,1,mup
1030,77338.330078125,512,0.00024,102.62726,1,mup
1040,117670.1171875,512,0.00024,102.62726,1,mup
1050,117934.326171875,512,0.00024,102.62726,1,mup
1060,117943.583984375,512,0.00024,102.62726,1,mup
1070,117901.240234375,512,0.00024,102.62726,1,mup
1080,179792.3046875,512,0.00024,102.62726,1,mup
1090,180323.3203125,512,0.00024,102.62726,1,mup
1100,179427.24609375,512,0.00024,102.62726,1,mup
1110,179788.359375,512,0.00024,102.62726,1,mup
1120,275565.09765625,512,0.00024,102.62726,1,mup
1130,274267.1875,512,0.00024,102.62726,1,mup
1140,275148.88671875,512,0.00024,102.62726,1,mup
1150,275400.68359375,512,0.00024,102.62726,1,mup
