step,loss,width,lr,wd,seed,param_type
0,3.3371715545654297,1024,0.00098,12.37458,2,mup
10,1.172650694847107,1024,0.00098,12.37458,2,mup
20,1.2555400729179382,1024,0.00098,12.37458,2,mup
30,1.2164921164512634,1024,0.00098,12.37458,2,mup
40,1.0317469239234924,1024,0.00098,12.37458,2,mup
50,0.9328270554542542,1024,0.00098,12.37458,2,mup
60,0.7369071990251541,1024,0.00098,12.37458,2,mup
70,0.5648826956748962,1024,0.00098,12.37458,2,mup
80,0.4923058748245239,1024,0.00098,12.37458,2,mup
90,0.37426818162202835,1024,0.00098,12.37458,2,mup
100,0.2881465405225754,1024,0.00098,12.37458,2,mup
110,0.2546650171279907,1024,0.00098,12.37458,2,mup
120,0.20272193849086761,1024,0.00098,12.37458,2,mup
130,0.16684605181217194,1024,0.00098,12.37458,2,mup
140,0.16141795367002487,1024,0.00098,12.37458,2,mup
150,0.1346852034330368,1024,0.00098,12.37458,2,mup
160,0.11933301016688347,1024,0.00098,12.37458,2,mup
170,0.11196497082710266,1024,0.00098,12.37458,2,mup
180,0.10051129013299942,1024,0.00098,12.37458,2,mup
190,0.09082568809390068,1024,0.00098,12.37458,2,mup
200,0.08761147409677505,1024,0.00098,12.37458,2,mup
210,0.08195876330137253,1024,0.00098,12.37458,2,mup
220,0.07814729958772659,1024,0.00098,12.37458,2,mup
230,0.07806829735636711,1024,0.00098,12.37458,2,mup
240,0.08023742772638798,1024,0.00098,12.37458,2,mup
250,0.07425433024764061,1024,0.00098,12.37458,2,mup
260,0.07680467516183853,1024,0.00098,12.37458,2,mup
270,0.07166998833417892,1024,0.00098,12.37458,2,mup
280,0.06966561265289783,1024,0.00098,12.37458,2,mup
290,0.06902376562356949,1024,0.00098,12.37458,2,mup
300,0.06731501407921314,1024,0.00098,12.37458,2,mup
310,0.06604542955756187,1024,0.00098,12.37458,2,mup
320,0.06524979695677757,1024,0.00098,12.37458,2,mup
330,0.064088623970747,1024,0.00098,12.37458,2,mup
340,0.06328009441494942,1024,0.00098,12.37458,2,mup
350,0.06351450830698013,1024,0.00098,12.37458,2,mup
360,0.07148005999624729,1024,0.00098,12.37458,2,mup
370,0.0665238294750452,1024,0.00098,12.37458,2,mup
380,0.06495936401188374,1024,0.00098,12.37458,2,mup
390,0.06290959753096104,1024,0.00098,12.37458,2,mup
400,0.061902523040771484,1024,0.00098,12.37458,2,mup
410,0.060600919649004936,1024,0.00098,12.37458,2,mup
