step,loss,width,lr,wd,seed,param_type
0,10.871628522872925,1024,0.00195,6.21902,0,mup
10,10.87212085723877,1024,0.00195,6.21902,0,mup
20,10.872877836227417,1024,0.00195,6.21902,0,mup
30,10.874004364013672,1024,0.00195,6.21902,0,mup
40,10.396865606307983,1024,0.00195,6.21902,0,mup
50,10.397484302520752,1024,0.00195,6.21902,0,mup
60,10.412187576293945,1024,0.00195,6.21902,0,mup
70,10.390105247497559,1024,0.00195,6.21902,0,mup
80,9.226980209350586,1024,0.00195,6.21902,0,mup
90,9.15977418422699,1024,0.00195,6.21902,0,mup
100,9.145790338516235,1024,0.00195,6.21902,0,mup
110,9.190447926521301,1024,0.00195,6.21902,0,mup
120,8.513885736465454,1024,0.00195,6.21902,0,mup
130,8.633880615234375,1024,0.00195,6.21902,0,mup
140,8.559694290161133,1024,0.00195,6.21902,0,mup
150,8.5701322555542,1024,0.00195,6.21902,0,mup
160,8.170814514160156,1024,0.00195,6.21902,0,mup
170,8.102087378501892,1024,0.00195,6.21902,0,mup
180,8.323531150817871,1024,0.00195,6.21902,0,mup
190,8.24658215045929,1024,0.00195,6.21902,0,mup
200,7.875489592552185,1024,0.00195,6.21902,0,mup
210,7.875185608863831,1024,0.00195,6.21902,0,mup
220,7.846587300300598,1024,0.00195,6.21902,0,mup
230,7.797871232032776,1024,0.00195,6.21902,0,mup
240,7.686675190925598,1024,0.00195,6.21902,0,mup
250,7.626163959503174,1024,0.00195,6.21902,0,mup
260,7.824285626411438,1024,0.00195,6.21902,0,mup
270,7.596280574798584,1024,0.00195,6.21902,0,mup
280,7.633914351463318,1024,0.00195,6.21902,0,mup
290,7.65706479549408,1024,0.00195,6.21902,0,mup
300,7.6377540826797485,1024,0.00195,6.21902,0,mup
310,7.6828718185424805,1024,0.00195,6.21902,0,mup
320,7.469028830528259,1024,0.00195,6.21902,0,mup
330,7.740463018417358,1024,0.00195,6.21902,0,mup
340,7.608506679534912,1024,0.00195,6.21902,0,mup
350,7.601260542869568,1024,0.00195,6.21902,0,mup
360,7.5274622440338135,1024,0.00195,6.21902,0,mup
370,7.605381011962891,1024,0.00195,6.21902,0,mup
380,7.6453083753585815,1024,0.00195,6.21902,0,mup
390,7.61758029460907,1024,0.00195,6.21902,0,mup
400,7.536754608154297,1024,0.00195,6.21902,0,mup
410,7.869763970375061,1024,0.00195,6.21902,0,mup
420,7.575022578239441,1024,0.00195,6.21902,0,mup
430,7.7281492948532104,1024,0.00195,6.21902,0,mup
440,7.5819337368011475,1024,0.00195,6.21902,0,mup
450,7.560558915138245,1024,0.00195,6.21902,0,mup
460,7.682926058769226,1024,0.00195,6.21902,0,mup
470,7.5603073835372925,1024,0.00195,6.21902,0,mup
480,7.516717314720154,1024,0.00195,6.21902,0,mup
490,7.572936415672302,1024,0.00195,6.21902,0,mup
500,7.503034472465515,1024,0.00195,6.21902,0,mup
510,7.505320310592651,1024,0.00195,6.21902,0,mup
520,7.508280277252197,1024,0.00195,6.21902,0,mup
530,7.556736469268799,1024,0.00195,6.21902,0,mup
540,7.788247466087341,1024,0.00195,6.21902,0,mup
550,7.765435576438904,1024,0.00195,6.21902,0,mup
560,7.502498626708984,1024,0.00195,6.21902,0,mup
570,7.703027129173279,1024,0.00195,6.21902,0,mup
580,7.625258564949036,1024,0.00195,6.21902,0,mup
590,7.590740323066711,1024,0.00195,6.21902,0,mup
600,7.5526100397109985,1024,0.00195,6.21902,0,mup
610,7.5662678480148315,1024,0.00195,6.21902,0,mup
620,7.434748411178589,1024,0.00195,6.21902,0,mup
