step,loss,width,lr,wd,seed,param_type
0,2.7848786115646362,1024,0.00391,3.10156,2,mup
10,0.00016527489060536027,1024,0.00391,3.10156,2,mup
20,1.442750362912193e-05,1024,0.00391,3.10156,2,mup
30,4.864995872821964e-07,1024,0.00391,3.10156,2,mup
40,0.0,1024,0.00391,3.10156,2,mup
50,0.0,1024,0.00391,3.10156,2,mup
60,0.0,1024,0.00391,3.10156,2,mup
70,0.0,1024,0.00391,3.10156,2,mup
80,0.0,1024,0.00391,3.10156,2,mup
90,0.0,1024,0.00391,3.10156,2,mup
100,0.0,1024,0.00391,3.10156,2,mup
110,2.176966340527997e-08,1024,0.00391,3.10156,2,mup
120,2.423766787273962e-07,1024,0.00391,3.10156,2,mup
130,7.292255759239197e-07,1024,0.00391,3.10156,2,mup
140,1.2686941204265167e-06,1024,0.00391,3.10156,2,mup
150,3.9482242755184416e-06,1024,0.00391,3.10156,2,mup
160,1.215123847941868e-05,1024,0.00391,3.10156,2,mup
170,2.1006329006922897e-05,1024,0.00391,3.10156,2,mup
180,5.745941416535061e-05,1024,0.00391,3.10156,2,mup
190,0.00012079310181434266,1024,0.00391,3.10156,2,mup
200,0.00014942697089281864,1024,0.00391,3.10156,2,mup
210,0.00016297462570946664,1024,0.00391,3.10156,2,mup
220,0.00013022338680457324,1024,0.00391,3.10156,2,mup
230,0.00011229405936319381,1024,0.00391,3.10156,2,mup
240,9.087429680221248e-05,1024,0.00391,3.10156,2,mup
250,9.579973993822932e-05,1024,0.00391,3.10156,2,mup
260,0.00011148605699418113,1024,0.00391,3.10156,2,mup
270,0.00018177833408117294,1024,0.00391,3.10156,2,mup
280,0.00026237677229801193,1024,0.00391,3.10156,2,mup
290,0.0002560642169555649,1024,0.00391,3.10156,2,mup
300,0.00018195075244875625,1024,0.00391,3.10156,2,mup
310,0.00012333876657066867,1024,0.00391,3.10156,2,mup
320,0.0001044429445755668,1024,0.00391,3.10156,2,mup
330,7.792675023665652e-05,1024,0.00391,3.10156,2,mup
340,6.083166226744652e-05,1024,0.00391,3.10156,2,mup
350,5.459607746161055e-05,1024,0.00391,3.10156,2,mup
360,4.606000402418431e-05,1024,0.00391,3.10156,2,mup
370,4.2199160816380754e-05,1024,0.00391,3.10156,2,mup
380,4.184165027254494e-05,1024,0.00391,3.10156,2,mup
390,4.3831762923218776e-05,1024,0.00391,3.10156,2,mup
400,4.872346835327335e-05,1024,0.00391,3.10156,2,mup
410,5.1413459004834294e-05,1024,0.00391,3.10156,2,mup
420,5.550874993787147e-05,1024,0.00391,3.10156,2,mup
430,5.658067311742343e-05,1024,0.00391,3.10156,2,mup
440,5.5669173889327794e-05,1024,0.00391,3.10156,2,mup
450,5.22703612659825e-05,1024,0.00391,3.10156,2,mup
460,4.617094964487478e-05,1024,0.00391,3.10156,2,mup
470,4.322384575061733e-05,1024,0.00391,3.10156,2,mup
480,3.814617775788065e-05,1024,0.00391,3.10156,2,mup
490,3.354447198944399e-05,1024,0.00391,3.10156,2,mup
500,3.170850504830014e-05,1024,0.00391,3.10156,2,mup
510,2.9093239390931558e-05,1024,0.00391,3.10156,2,mup
520,2.753693115664646e-05,1024,0.00391,3.10156,2,mup
530,2.7059975764132105e-05,1024,0.00391,3.10156,2,mup
540,2.670246522029629e-05,1024,0.00391,3.10156,2,mup
550,2.6155876184930094e-05,1024,0.00391,3.10156,2,mup
560,2.5990682843257673e-05,1024,0.00391,3.10156,2,mup
570,2.562967983976705e-05,1024,0.00391,3.10156,2,mup
580,2.4961577764770482e-05,1024,0.00391,3.10156,2,mup
590,2.4437596948700957e-05,1024,0.00391,3.10156,2,mup
600,2.3250193407875486e-05,1024,0.00391,3.10156,2,mup
610,2.205347755079856e-05,1024,0.00391,3.10156,2,mup
620,2.1338238184398506e-05,1024,0.00391,3.10156,2,mup
630,2.0135778868279886e-05,1024,0.00391,3.10156,2,mup
640,1.9073263501923066e-05,1024,0.00391,3.10156,2,mup
650,1.847655084930011e-05,1024,0.00391,3.10156,2,mup
660,1.7523582755529787e-05,1024,0.00391,3.10156,2,mup
670,1.6808344753371784e-05,1024,0.00391,3.10156,2,mup
680,1.6450723705929704e-05,1024,0.00391,3.10156,2,mup
690,1.5860267467360245e-05,1024,0.00391,3.10156,2,mup
700,1.5377842828456778e-05,1024,0.00391,3.10156,2,mup
710,1.525871175545035e-05,1024,0.00391,3.10156,2,mup
720,1.4543570614478085e-05,1024,0.00391,3.10156,2,mup
730,1.41818691190565e-05,1024,0.00391,3.10156,2,mup
740,1.4188854038366117e-05,1024,0.00391,3.10156,2,mup
750,2.032425436482299e-05,1024,0.00391,3.10156,2,mup
760,1.2639135093195364e-05,1024,0.00391,3.10156,2,mup
770,1.0968107062581112e-05,1024,0.00391,3.10156,2,mup
780,1.0661174428605591e-05,1024,0.00391,3.10156,2,mup
790,9.41668554332864e-06,1024,0.00391,3.10156,2,mup
800,9.417500677955104e-06,1024,0.00391,3.10156,2,mup
810,9.179091875921586e-06,1024,0.00391,3.10156,2,mup
820,9.417500677955104e-06,1024,0.00391,3.10156,2,mup
830,9.487117949902313e-06,1024,0.00391,3.10156,2,mup
840,9.773507827048888e-06,1024,0.00391,3.10156,2,mup
850,9.655919029682991e-06,1024,0.00391,3.10156,2,mup
860,9.655919029682991e-06,1024,0.00391,3.10156,2,mup
870,9.298291161030647e-06,1024,0.00391,3.10156,2,mup
880,8.821463325148216e-06,1024,0.00391,3.10156,2,mup
890,8.501437378072296e-06,1024,0.00391,3.10156,2,mup
900,7.986997388798045e-06,1024,0.00391,3.10156,2,mup
910,7.396669388981536e-06,1024,0.00391,3.10156,2,mup
920,7.152545094868401e-06,1024,0.00391,3.10156,2,mup
930,6.794917226216057e-06,1024,0.00391,3.10156,2,mup
940,6.4372934502898715e-06,1024,0.00391,3.10156,2,mup
950,6.318083933365415e-06,1024,0.00391,3.10156,2,mup
960,6.126115295046475e-06,1024,0.00391,3.10156,2,mup
970,5.960456064713071e-06,1024,0.00391,3.10156,2,mup
980,5.841246547788614e-06,1024,0.00391,3.10156,2,mup
990,5.722037371924671e-06,1024,0.00391,3.10156,2,mup
1000,5.483616632773192e-06,1024,0.00391,3.10156,2,mup
1010,5.364415983422077e-06,1024,0.00391,3.10156,2,mup
1020,5.125997290633677e-06,1024,0.00391,3.10156,2,mup
1030,4.887578597845277e-06,1024,0.00391,3.10156,2,mup
1040,4.768369421981333e-06,1024,0.00391,3.10156,2,mup
1050,4.531696959020337e-06,1024,0.00391,3.10156,2,mup
1060,4.4107415533289895e-06,1024,0.00391,3.10156,2,mup
1070,4.291532377465046e-06,1024,0.00391,3.10156,2,mup
1080,4.053113343616133e-06,1024,0.00391,3.10156,2,mup
1090,3.8146970382513246e-06,1024,0.00391,3.10156,2,mup
1100,3.8146970382513246e-06,1024,0.00391,3.10156,2,mup
1110,3.576278004402411e-06,1024,0.00391,3.10156,2,mup
1120,3.4570684874779545e-06,1024,0.00391,3.10156,2,mup
1130,3.4570684874779545e-06,1024,0.00391,3.10156,2,mup
1140,3.2186508178710938e-06,1024,0.00391,3.10156,2,mup
1150,3.099441300946637e-06,1024,0.00391,3.10156,2,mup
1160,3.099441300946637e-06,1024,0.00391,3.10156,2,mup
1170,2.9802321250826935e-06,1024,0.00391,3.10156,2,mup
1180,2.8610227786884934e-06,1024,0.00391,3.10156,2,mup
1190,2.741812750173267e-06,1024,0.00391,3.10156,2,mup
1200,2.6226042564303498e-06,1024,0.00391,3.10156,2,mup
1210,2.5033949100361497e-06,1024,0.00391,3.10156,2,mup
