step,loss,width,lr,wd,seed,param_type
0,10.598595142364502,1024,0.00195,6.21902,1,mup
10,8.751205444335938,1024,0.00195,6.21902,1,mup
20,8.381918907165527,1024,0.00195,6.21902,1,mup
30,7.862684011459351,1024,0.00195,6.21902,1,mup
40,7.670573472976685,1024,0.00195,6.21902,1,mup
50,7.749046325683594,1024,0.00195,6.21902,1,mup
60,7.68622899055481,1024,0.00195,6.21902,1,mup
70,7.7984089851379395,1024,0.00195,6.21902,1,mup
80,7.767951250076294,1024,0.00195,6.21902,1,mup
90,7.677919149398804,1024,0.00195,6.21902,1,mup
100,7.517940044403076,1024,0.00195,6.21902,1,mup
110,7.653924465179443,1024,0.00195,6.21902,1,mup
120,7.604448080062866,1024,0.00195,6.21902,1,mup
130,7.369981527328491,1024,0.00195,6.21902,1,mup
140,7.481607913970947,1024,0.00195,6.21902,1,mup
150,7.3415186405181885,1024,0.00195,6.21902,1,mup
160,7.794952869415283,1024,0.00195,6.21902,1,mup
170,7.465899467468262,1024,0.00195,6.21902,1,mup
180,7.485454559326172,1024,0.00195,6.21902,1,mup
190,7.318309307098389,1024,0.00195,6.21902,1,mup
200,7.349305629730225,1024,0.00195,6.21902,1,mup
210,7.263095855712891,1024,0.00195,6.21902,1,mup
220,7.191967248916626,1024,0.00195,6.21902,1,mup
230,7.147953271865845,1024,0.00195,6.21902,1,mup
240,7.12851619720459,1024,0.00195,6.21902,1,mup
250,7.202777624130249,1024,0.00195,6.21902,1,mup
260,7.592132806777954,1024,0.00195,6.21902,1,mup
270,7.262578725814819,1024,0.00195,6.21902,1,mup
280,7.21704626083374,1024,0.00195,6.21902,1,mup
290,7.26893949508667,1024,0.00195,6.21902,1,mup
300,7.166732311248779,1024,0.00195,6.21902,1,mup
310,7.13043737411499,1024,0.00195,6.21902,1,mup
320,7.025991439819336,1024,0.00195,6.21902,1,mup
330,6.854665517807007,1024,0.00195,6.21902,1,mup
340,7.212951421737671,1024,0.00195,6.21902,1,mup
350,7.124668121337891,1024,0.00195,6.21902,1,mup
360,7.278842926025391,1024,0.00195,6.21902,1,mup
370,7.012829303741455,1024,0.00195,6.21902,1,mup
380,6.981946706771851,1024,0.00195,6.21902,1,mup
390,7.077707290649414,1024,0.00195,6.21902,1,mup
400,7.102686882019043,1024,0.00195,6.21902,1,mup
410,6.93304967880249,1024,0.00195,6.21902,1,mup
420,7.012231349945068,1024,0.00195,6.21902,1,mup
430,6.805050373077393,1024,0.00195,6.21902,1,mup
440,6.744619846343994,1024,0.00195,6.21902,1,mup
450,7.116708755493164,1024,0.00195,6.21902,1,mup
460,7.000455379486084,1024,0.00195,6.21902,1,mup
470,6.765558242797852,1024,0.00195,6.21902,1,mup
480,7.369056701660156,1024,0.00195,6.21902,1,mup
490,6.737893581390381,1024,0.00195,6.21902,1,mup
500,6.701359033584595,1024,0.00195,6.21902,1,mup
510,6.939697265625,1024,0.00195,6.21902,1,mup
520,6.587591171264648,1024,0.00195,6.21902,1,mup
530,6.933034658432007,1024,0.00195,6.21902,1,mup
540,6.904513835906982,1024,0.00195,6.21902,1,mup
550,6.88788628578186,1024,0.00195,6.21902,1,mup
560,7.3062050342559814,1024,0.00195,6.21902,1,mup
570,7.033477306365967,1024,0.00195,6.21902,1,mup
580,7.377420902252197,1024,0.00195,6.21902,1,mup
590,6.715648412704468,1024,0.00195,6.21902,1,mup
600,6.9512128829956055,1024,0.00195,6.21902,1,mup
610,6.569967269897461,1024,0.00195,6.21902,1,mup
620,6.673313140869141,1024,0.00195,6.21902,1,mup
630,6.871089220046997,1024,0.00195,6.21902,1,mup
640,6.890165090560913,1024,0.00195,6.21902,1,mup
650,7.181156158447266,1024,0.00195,6.21902,1,mup
660,6.716531753540039,1024,0.00195,6.21902,1,mup
670,6.560096025466919,1024,0.00195,6.21902,1,mup
680,6.768992900848389,1024,0.00195,6.21902,1,mup
690,6.73180890083313,1024,0.00195,6.21902,1,mup
700,6.765300035476685,1024,0.00195,6.21902,1,mup
710,7.1307692527771,1024,0.00195,6.21902,1,mup
720,6.724159240722656,1024,0.00195,6.21902,1,mup
730,7.012011766433716,1024,0.00195,6.21902,1,mup
740,6.840468406677246,1024,0.00195,6.21902,1,mup
750,6.6578593254089355,1024,0.00195,6.21902,1,mup
760,6.982189178466797,1024,0.00195,6.21902,1,mup
