step,loss,width,lr,wd,seed,param_type
0,5.6067352294921875,512,0.00195,12.63105,2,mup
10,5.455301284790039,512,0.00195,12.63105,2,mup
20,5.650269269943237,512,0.00195,12.63105,2,mup
30,5.670382261276245,512,0.00195,12.63105,2,mup
40,5.48448371887207,512,0.00195,12.63105,2,mup
50,5.370413303375244,512,0.00195,12.63105,2,mup
60,5.146898031234741,512,0.00195,12.63105,2,mup
70,5.086348056793213,512,0.00195,12.63105,2,mup
80,5.091036915779114,512,0.00195,12.63105,2,mup
90,4.806618332862854,512,0.00195,12.63105,2,mup
100,4.665644288063049,512,0.00195,12.63105,2,mup
110,4.602079510688782,512,0.00195,12.63105,2,mup
120,4.509063363075256,512,0.00195,12.63105,2,mup
130,4.431767463684082,512,0.00195,12.63105,2,mup
140,4.399688243865967,512,0.00195,12.63105,2,mup
150,4.38252854347229,512,0.00195,12.63105,2,mup
160,4.430322647094727,512,0.00195,12.63105,2,mup
170,4.381182789802551,512,0.00195,12.63105,2,mup
180,4.364317417144775,512,0.00195,12.63105,2,mup
190,4.240032434463501,512,0.00195,12.63105,2,mup
200,4.2262526750564575,512,0.00195,12.63105,2,mup
210,4.177516579627991,512,0.00195,12.63105,2,mup
220,4.136507034301758,512,0.00195,12.63105,2,mup
230,4.11586332321167,512,0.00195,12.63105,2,mup
240,4.083560943603516,512,0.00195,12.63105,2,mup
250,4.085352659225464,512,0.00195,12.63105,2,mup
260,4.127103567123413,512,0.00195,12.63105,2,mup
270,4.135555744171143,512,0.00195,12.63105,2,mup
280,4.0265936851501465,512,0.00195,12.63105,2,mup
290,4.009323835372925,512,0.00195,12.63105,2,mup
300,3.9684752225875854,512,0.00195,12.63105,2,mup
310,3.935658574104309,512,0.00195,12.63105,2,mup
320,3.920632839202881,512,0.00195,12.63105,2,mup
330,3.904810309410095,512,0.00195,12.63105,2,mup
340,4.0127434730529785,512,0.00195,12.63105,2,mup
350,4.025100231170654,512,0.00195,12.63105,2,mup
360,3.8775222301483154,512,0.00195,12.63105,2,mup
370,3.8300278186798096,512,0.00195,12.63105,2,mup
380,3.815653681755066,512,0.00195,12.63105,2,mup
390,3.783181071281433,512,0.00195,12.63105,2,mup
400,3.7535247802734375,512,0.00195,12.63105,2,mup
410,3.7448941469192505,512,0.00195,12.63105,2,mup
420,3.860400438308716,512,0.00195,12.63105,2,mup
430,3.7852145433425903,512,0.00195,12.63105,2,mup
440,3.7147425413131714,512,0.00195,12.63105,2,mup
450,3.918070077896118,512,0.00195,12.63105,2,mup
460,3.974914312362671,512,0.00195,12.63105,2,mup
470,3.9899239540100098,512,0.00195,12.63105,2,mup
480,3.932152032852173,512,0.00195,12.63105,2,mup
490,3.856647491455078,512,0.00195,12.63105,2,mup
500,3.816013813018799,512,0.00195,12.63105,2,mup
510,3.7404463291168213,512,0.00195,12.63105,2,mup
520,3.7988433837890625,512,0.00195,12.63105,2,mup
530,3.8925164937973022,512,0.00195,12.63105,2,mup
540,3.662766695022583,512,0.00195,12.63105,2,mup
550,3.589937925338745,512,0.00195,12.63105,2,mup
560,3.562319040298462,512,0.00195,12.63105,2,mup
570,3.5080153942108154,512,0.00195,12.63105,2,mup
580,3.457749366760254,512,0.00195,12.63105,2,mup
590,3.4354019165039062,512,0.00195,12.63105,2,mup
600,3.439647674560547,512,0.00195,12.63105,2,mup
610,3.849762439727783,512,0.00195,12.63105,2,mup
620,3.387805938720703,512,0.00195,12.63105,2,mup
630,3.3738774061203003,512,0.00195,12.63105,2,mup
640,3.344001889228821,512,0.00195,12.63105,2,mup
650,3.3208647966384888,512,0.00195,12.63105,2,mup
660,3.282626152038574,512,0.00195,12.63105,2,mup
670,3.244867444038391,512,0.00195,12.63105,2,mup
680,3.2268422842025757,512,0.00195,12.63105,2,mup
690,3.1938486099243164,512,0.00195,12.63105,2,mup
700,3.248427629470825,512,0.00195,12.63105,2,mup
710,3.3105897903442383,512,0.00195,12.63105,2,mup
720,3.2158108949661255,512,0.00195,12.63105,2,mup
730,3.131532669067383,512,0.00195,12.63105,2,mup
740,3.114066481590271,512,0.00195,12.63105,2,mup
750,3.081415057182312,512,0.00195,12.63105,2,mup
760,3.0522165298461914,512,0.00195,12.63105,2,mup
770,3.0406161546707153,512,0.00195,12.63105,2,mup
780,3.106161117553711,512,0.00195,12.63105,2,mup
790,3.1830646991729736,512,0.00195,12.63105,2,mup
800,3.036882162094116,512,0.00195,12.63105,2,mup
810,2.9992981553077698,512,0.00195,12.63105,2,mup
820,2.95724093914032,512,0.00195,12.63105,2,mup
