step,loss,width,lr,wd,seed,param_type
0,2.322925865650177,1024,0.00098,12.37458,1,mup
10,0.7673937678337097,1024,0.00098,12.37458,1,mup
20,0.870526134967804,1024,0.00098,12.37458,1,mup
30,0.9014592468738556,1024,0.00098,12.37458,1,mup
40,0.8040531277656555,1024,0.00098,12.37458,1,mup
50,0.7393991500139236,1024,0.00098,12.37458,1,mup
60,0.6013628840446472,1024,0.00098,12.37458,1,mup
70,0.47113993763923645,1024,0.00098,12.37458,1,mup
80,0.4144524335861206,1024,0.00098,12.37458,1,mup
90,0.321197971701622,1024,0.00098,12.37458,1,mup
100,0.25160251557826996,1024,0.00098,12.37458,1,mup
110,0.2241782695055008,1024,0.00098,12.37458,1,mup
120,0.18131905049085617,1024,0.00098,12.37458,1,mup
130,0.1526343673467636,1024,0.00098,12.37458,1,mup
140,0.15555641055107117,1024,0.00098,12.37458,1,mup
150,0.12339303642511368,1024,0.00098,12.37458,1,mup
160,0.1114516630768776,1024,0.00098,12.37458,1,mup
170,0.10425619035959244,1024,0.00098,12.37458,1,mup
180,0.0948304608464241,1024,0.00098,12.37458,1,mup
190,0.08752726949751377,1024,0.00098,12.37458,1,mup
200,0.0843459740281105,1024,0.00098,12.37458,1,mup
210,0.07978124544024467,1024,0.00098,12.37458,1,mup
220,0.07699988409876823,1024,0.00098,12.37458,1,mup
230,0.07791348919272423,1024,0.00098,12.37458,1,mup
240,0.08038602210581303,1024,0.00098,12.37458,1,mup
250,0.0768766812980175,1024,0.00098,12.37458,1,mup
260,0.08551871404051781,1024,0.00098,12.37458,1,mup
270,0.07357234507799149,1024,0.00098,12.37458,1,mup
280,0.0704629048705101,1024,0.00098,12.37458,1,mup
290,0.06930838711559772,1024,0.00098,12.37458,1,mup
300,0.06774427369236946,1024,0.00098,12.37458,1,mup
310,0.06627478636801243,1024,0.00098,12.37458,1,mup
320,0.06549981236457825,1024,0.00098,12.37458,1,mup
330,0.06422667391598225,1024,0.00098,12.37458,1,mup
340,0.06310432590544224,1024,0.00098,12.37458,1,mup
350,0.06267003156244755,1024,0.00098,12.37458,1,mup
360,0.06271899864077568,1024,0.00098,12.37458,1,mup
370,0.06870974600315094,1024,0.00098,12.37458,1,mup
380,0.07288750447332859,1024,0.00098,12.37458,1,mup
390,0.06446252949535847,1024,0.00098,12.37458,1,mup
400,0.06165909580886364,1024,0.00098,12.37458,1,mup
410,0.06141185760498047,1024,0.00098,12.37458,1,mup
420,0.059952931478619576,1024,0.00098,12.37458,1,mup
430,0.058685487136244774,1024,0.00098,12.37458,1,mup
440,0.05796569958329201,1024,0.00098,12.37458,1,mup
450,0.05682467669248581,1024,0.00098,12.37458,1,mup
460,0.05568963289260864,1024,0.00098,12.37458,1,mup
470,0.05515647679567337,1024,0.00098,12.37458,1,mup
480,0.05447729676961899,1024,0.00098,12.37458,1,mup
490,0.05697394162416458,1024,0.00098,12.37458,1,mup
500,0.058125559240579605,1024,0.00098,12.37458,1,mup
510,0.057156410068273544,1024,0.00098,12.37458,1,mup
520,0.053672220557928085,1024,0.00098,12.37458,1,mup
530,0.05292633734643459,1024,0.00098,12.37458,1,mup
540,0.05169001221656799,1024,0.00098,12.37458,1,mup
550,0.0506615974009037,1024,0.00098,12.37458,1,mup
560,0.05017349682748318,1024,0.00098,12.37458,1,mup
570,0.04929675534367561,1024,0.00098,12.37458,1,mup
580,0.048645319417119026,1024,0.00098,12.37458,1,mup
590,0.049077317118644714,1024,0.00098,12.37458,1,mup
600,0.05450230836868286,1024,0.00098,12.37458,1,mup
610,0.05102114751935005,1024,0.00098,12.37458,1,mup
620,0.049236226826906204,1024,0.00098,12.37458,1,mup
630,0.04755641520023346,1024,0.00098,12.37458,1,mup
640,0.046361591666936874,1024,0.00098,12.37458,1,mup
650,0.04594185668975115,1024,0.00098,12.37458,1,mup
660,0.04508755076676607,1024,0.00098,12.37458,1,mup
670,0.044393361546099186,1024,0.00098,12.37458,1,mup
680,0.044057236053049564,1024,0.00098,12.37458,1,mup
690,0.044858758337795734,1024,0.00098,12.37458,1,mup
700,0.04786304198205471,1024,0.00098,12.37458,1,mup
710,0.04685101378709078,1024,0.00098,12.37458,1,mup
720,0.045994145795702934,1024,0.00098,12.37458,1,mup
730,0.04365934431552887,1024,0.00098,12.37458,1,mup
740,0.04265482351183891,1024,0.00098,12.37458,1,mup
750,0.04211357608437538,1024,0.00098,12.37458,1,mup
760,0.0410529188811779,1024,0.00098,12.37458,1,mup
770,0.04068760760128498,1024,0.00098,12.37458,1,mup
780,0.03989139385521412,1024,0.00098,12.37458,1,mup
790,0.03913482651114464,1024,0.00098,12.37458,1,mup
800,0.038840082474052906,1024,0.00098,12.37458,1,mup
810,0.038933915086090565,1024,0.00098,12.37458,1,mup
820,0.041588240303099155,1024,0.00098,12.37458,1,mup
830,0.04270954057574272,1024,0.00098,12.37458,1,mup
840,0.03937039151787758,1024,0.00098,12.37458,1,mup
850,0.03819064982235432,1024,0.00098,12.37458,1,mup
860,0.03721761144697666,1024,0.00098,12.37458,1,mup
870,0.03658189997076988,1024,0.00098,12.37458,1,mup
880,0.035927449353039265,1024,0.00098,12.37458,1,mup
890,0.03554235398769379,1024,0.00098,12.37458,1,mup
900,0.034893427044153214,1024,0.00098,12.37458,1,mup
910,0.0344368452206254,1024,0.00098,12.37458,1,mup
920,0.03453293535858393,1024,0.00098,12.37458,1,mup
930,0.03818907402455807,1024,0.00098,12.37458,1,mup
940,0.036571696400642395,1024,0.00098,12.37458,1,mup
950,0.03501088544726372,1024,0.00098,12.37458,1,mup
960,0.0336680319160223,1024,0.00098,12.37458,1,mup
970,0.03285233024507761,1024,0.00098,12.37458,1,mup
980,0.03260567877441645,1024,0.00098,12.37458,1,mup
990,0.03195394668728113,1024,0.00098,12.37458,1,mup
1000,0.03136258386075497,1024,0.00098,12.37458,1,mup
1010,0.03106970340013504,1024,0.00098,12.37458,1,mup
1020,0.030765049159526825,1024,0.00098,12.37458,1,mup
1030,0.034228770062327385,1024,0.00098,12.37458,1,mup
1040,0.03695240803062916,1024,0.00098,12.37458,1,mup
1050,0.03253955952823162,1024,0.00098,12.37458,1,mup
1060,0.03067485149949789,1024,0.00098,12.37458,1,mup
1070,0.029942871071398258,1024,0.00098,12.37458,1,mup
1080,0.029529436491429806,1024,0.00098,12.37458,1,mup
1090,0.029011585749685764,1024,0.00098,12.37458,1,mup
1100,0.02880425937473774,1024,0.00098,12.37458,1,mup
1110,0.02849012240767479,1024,0.00098,12.37458,1,mup
1120,0.02848855499178171,1024,0.00098,12.37458,1,mup
1130,0.028671794570982456,1024,0.00098,12.37458,1,mup
1140,0.02956970874220133,1024,0.00098,12.37458,1,mup
1150,0.029498892836272717,1024,0.00098,12.37458,1,mup
1160,0.028738134540617466,1024,0.00098,12.37458,1,mup
1170,0.027710599824786186,1024,0.00098,12.37458,1,mup
1180,0.027337057515978813,1024,0.00098,12.37458,1,mup
1190,0.027432032860815525,1024,0.00098,12.37458,1,mup
1200,0.027560725808143616,1024,0.00098,12.37458,1,mup
1210,0.027772748842835426,1024,0.00098,12.37458,1,mup
1220,0.027933700941503048,1024,0.00098,12.37458,1,mup
1230,0.029547580517828465,1024,0.00098,12.37458,1,mup
1240,0.031235947273671627,1024,0.00098,12.37458,1,mup
1250,0.029342439025640488,1024,0.00098,12.37458,1,mup
1260,0.026963744312524796,1024,0.00098,12.37458,1,mup
1270,0.026304996572434902,1024,0.00098,12.37458,1,mup
1280,25.25332260131836,1024,0.00098,12.37458,1,mup
1290,0.06071835570037365,1024,0.00098,12.37458,1,mup
1300,0.08553994819521904,1024,0.00098,12.37458,1,mup
1310,0.09304356761276722,1024,0.00098,12.37458,1,mup
1320,0.09733259305357933,1024,0.00098,12.37458,1,mup
1330,0.09199753403663635,1024,0.00098,12.37458,1,mup
1340,0.08739123679697514,1024,0.00098,12.37458,1,mup
1350,0.07603680342435837,1024,0.00098,12.37458,1,mup
1360,0.0648801438510418,1024,0.00098,12.37458,1,mup
1370,0.059863440692424774,1024,0.00098,12.37458,1,mup
1380,0.0517459362745285,1024,0.00098,12.37458,1,mup
1390,0.04894104413688183,1024,0.00098,12.37458,1,mup
1400,0.04574297368526459,1024,0.00098,12.37458,1,mup
1410,0.038526568561792374,1024,0.00098,12.37458,1,mup
1420,0.03356004226952791,1024,0.00098,12.37458,1,mup
1430,0.0317848976701498,1024,0.00098,12.37458,1,mup
1440,0.02861418854445219,1024,0.00098,12.37458,1,mup
1450,0.026395934633910656,1024,0.00098,12.37458,1,mup
1460,0.025661766529083252,1024,0.00098,12.37458,1,mup
1470,0.025042757391929626,1024,0.00098,12.37458,1,mup
1480,0.0252782441675663,1024,0.00098,12.37458,1,mup
1490,0.02579947840422392,1024,0.00098,12.37458,1,mup
1500,0.03212086670100689,1024,0.00098,12.37458,1,mup
1510,0.029637563042342663,1024,0.00098,12.37458,1,mup
1520,0.02671227604150772,1024,0.00098,12.37458,1,mup
1530,0.024750100448727608,1024,0.00098,12.37458,1,mup
1540,0.024461081251502037,1024,0.00098,12.37458,1,mup
1550,0.024594074115157127,1024,0.00098,12.37458,1,mup
1560,0.02488289214670658,1024,0.00098,12.37458,1,mup
1570,0.0251377634704113,1024,0.00098,12.37458,1,mup
1580,0.025174311362206936,1024,0.00098,12.37458,1,mup
1590,0.02506343275308609,1024,0.00098,12.37458,1,mup
1600,0.024865860119462013,1024,0.00098,12.37458,1,mup
1610,0.02476984541863203,1024,0.00098,12.37458,1,mup
1620,0.02557740267366171,1024,0.00098,12.37458,1,mup
1630,0.03118459414690733,1024,0.00098,12.37458,1,mup
1640,0.02727341651916504,1024,0.00098,12.37458,1,mup
1650,0.02303788997232914,1024,0.00098,12.37458,1,mup
1660,0.04945040121674538,1024,0.00098,12.37458,1,mup
1670,0.049694543704390526,1024,0.00098,12.37458,1,mup
1680,0.0717952586710453,1024,0.00098,12.37458,1,mup
1690,0.077714703977108,1024,0.00098,12.37458,1,mup
1700,8.032586574554443,1024,0.00098,12.37458,1,mup
1710,0.09378509223461151,1024,0.00098,12.37458,1,mup
1720,0.09407065808773041,1024,0.00098,12.37458,1,mup
1730,0.08834302425384521,1024,0.00098,12.37458,1,mup
1740,0.07445218786597252,1024,0.00098,12.37458,1,mup
1750,0.05997209809720516,1024,0.00098,12.37458,1,mup
1760,0.05344523303210735,1024,0.00098,12.37458,1,mup
1770,0.042727173306047916,1024,0.00098,12.37458,1,mup
1780,0.03599036671221256,1024,0.00098,12.37458,1,mup
1790,0.03636679798364639,1024,0.00098,12.37458,1,mup
1800,0.029593312181532383,1024,0.00098,12.37458,1,mup
1810,0.023871364071965218,1024,0.00098,12.37458,1,mup
1820,0.02258189767599106,1024,0.00098,12.37458,1,mup
1830,0.02137722121551633,1024,0.00098,12.37458,1,mup
1840,0.021941150072962046,1024,0.00098,12.37458,1,mup
1850,0.022497273981571198,1024,0.00098,12.37458,1,mup
1860,0.02347514033317566,1024,0.00098,12.37458,1,mup
1870,0.023943549022078514,1024,0.00098,12.37458,1,mup
1880,0.023960821330547333,1024,0.00098,12.37458,1,mup
1890,0.023767702281475067,1024,0.00098,12.37458,1,mup
1900,0.026140518486499786,1024,0.00098,12.37458,1,mup
1910,0.028456466272473335,1024,0.00098,12.37458,1,mup
1920,0.023094520904123783,1024,0.00098,12.37458,1,mup
1930,0.020466229878365993,1024,0.00098,12.37458,1,mup
1940,0.020175154320895672,1024,0.00098,12.37458,1,mup
1950,0.02067419048398733,1024,0.00098,12.37458,1,mup
1960,0.021668588742613792,1024,0.00098,12.37458,1,mup
1970,0.022065776400268078,1024,0.00098,12.37458,1,mup
1980,0.02244207914918661,1024,0.00098,12.37458,1,mup
1990,0.022225976921617985,1024,0.00098,12.37458,1,mup
2000,0.021971604321151972,1024,0.00098,12.37458,1,mup
2010,0.021441050805151463,1024,0.00098,12.37458,1,mup
2020,0.021396570838987827,1024,0.00098,12.37458,1,mup
2030,0.022488730028271675,1024,0.00098,12.37458,1,mup
2040,0.027536317706108093,1024,0.00098,12.37458,1,mup
2050,0.020211393479257822,1024,0.00098,12.37458,1,mup
2060,0.01896748971194029,1024,0.00098,12.37458,1,mup
2070,0.01820256421342492,1024,0.00098,12.37458,1,mup
2080,0.018942004535347223,1024,0.00098,12.37458,1,mup
2090,0.019635914359241724,1024,0.00098,12.37458,1,mup
2100,0.02056956198066473,1024,0.00098,12.37458,1,mup
2110,0.020871334243565798,1024,0.00098,12.37458,1,mup
2120,0.020762862637639046,1024,0.00098,12.37458,1,mup
2130,0.02023240551352501,1024,0.00098,12.37458,1,mup
2140,0.019643206615000963,1024,0.00098,12.37458,1,mup
2150,0.01940885977819562,1024,0.00098,12.37458,1,mup
2160,0.019359642639756203,1024,0.00098,12.37458,1,mup
2170,0.020823501516133547,1024,0.00098,12.37458,1,mup
2180,0.02306263893842697,1024,0.00098,12.37458,1,mup
2190,0.020968280732631683,1024,0.00098,12.37458,1,mup
2200,0.017335337586700916,1024,0.00098,12.37458,1,mup
2210,0.016765214502811432,1024,0.00098,12.37458,1,mup
2220,0.017033670097589493,1024,0.00098,12.37458,1,mup
2230,0.018002136144787073,1024,0.00098,12.37458,1,mup
2240,0.01836725603789091,1024,0.00098,12.37458,1,mup
2250,0.018895540852099657,1024,0.00098,12.37458,1,mup
2260,0.01877298066392541,1024,0.00098,12.37458,1,mup
2270,0.0185366403311491,1024,0.00098,12.37458,1,mup
2280,0.018024313263595104,1024,0.00098,12.37458,1,mup
2290,0.017629793845117092,1024,0.00098,12.37458,1,mup
