step,loss,width,lr,wd,seed,param_type
0,2.6173185110092163,1024,0.00195,6.21902,2,mup
10,0.018788754008710384,1024,0.00195,6.21902,2,mup
20,0.003519325749948621,1024,0.00195,6.21902,2,mup
30,0.0005890044558327645,1024,0.00195,6.21902,2,mup
40,0.0003443067325861193,1024,0.00195,6.21902,2,mup
50,0.0003402297224965878,1024,0.00195,6.21902,2,mup
60,0.0004322671447880566,1024,0.00195,6.21902,2,mup
70,0.0006307640578597784,1024,0.00195,6.21902,2,mup
80,0.0007648986938875169,1024,0.00195,6.21902,2,mup
90,0.0011023309780284762,1024,0.00195,6.21902,2,mup
100,0.0015481333248317242,1024,0.00195,6.21902,2,mup
110,0.001823213417083025,1024,0.00195,6.21902,2,mup
120,0.0025597939384169877,1024,0.00195,6.21902,2,mup
130,0.0031157482881098986,1024,0.00195,6.21902,2,mup
140,0.002920140337664634,1024,0.00195,6.21902,2,mup
150,0.00212687230668962,1024,0.00195,6.21902,2,mup
160,0.0014550357009284198,1024,0.00195,6.21902,2,mup
170,0.0012172900896985084,1024,0.00195,6.21902,2,mup
180,0.0009396297682542354,1024,0.00195,6.21902,2,mup
190,0.0008509727194905281,1024,0.00195,6.21902,2,mup
200,0.0008425056003034115,1024,0.00195,6.21902,2,mup
210,0.0008782907389104366,1024,0.00195,6.21902,2,mup
220,0.000966330582741648,1024,0.00195,6.21902,2,mup
230,0.001001726050162688,1024,0.00195,6.21902,2,mup
240,0.0010480803321115673,1024,0.00195,6.21902,2,mup
250,0.001022730051772669,1024,0.00195,6.21902,2,mup
260,0.0009851247305050492,1024,0.00195,6.21902,2,mup
270,0.0008888173615559936,1024,0.00195,6.21902,2,mup
280,0.0007931628206279129,1024,0.00195,6.21902,2,mup
290,0.0007543734682258219,1024,0.00195,6.21902,2,mup
300,0.0006941822357475758,1024,0.00195,6.21902,2,mup
310,0.0006586518284166232,1024,0.00195,6.21902,2,mup
320,0.0006485954218078405,1024,0.00195,6.21902,2,mup
330,0.0006429219210986048,1024,0.00195,6.21902,2,mup
340,0.0008007521973922849,1024,0.00195,6.21902,2,mup
350,0.0008319602929987013,1024,0.00195,6.21902,2,mup
360,0.0006284801638685167,1024,0.00195,6.21902,2,mup
370,0.0005213493132032454,1024,0.00195,6.21902,2,mup
